categoria;nombre;precio;peso;imagen
Verduras;Ajo Troceado;9,9;El Kilo;ajotroceado.webp
Verduras;Alcachofas troceadas ;8,8;El Kilo;alcachofas.jpg
Verduras;Arroz Blanco ;3,8;El Kilo;arrozblanco.jpg
Verduras;Brocoli;4,4;El Kilo;brocoli.jpg
Verduras;Calabaza en Dados;2.80;El Kilo;calabazaendados.jpg
Verduras;Calabacin en Dados;3,2;El Kilo;calabacinendados.jpg
Verduras;Cebolla Troceada;2,8;El Kilo;cebolla-picada.jpg
Verduras;Coles de Bruselas;4,4;El Kilo;colesdebruselas.webp
Verduras;Coliflor;3,8;El Kilo;coliflor.webp
Verduras;Espinacas en Porciones;3,4;El Kilo;espinacas.jpg
Verduras;Garbanzos pre-Cocidos;3,95;El Kilo;garbanzos.jpg
Verduras;Guisante Fino Findus;4,2;El Kilo;guisantes-finos.jpg
Verduras;Habas Baby;6,8;El Kilo;habasbaby.jpg
Verduras;Habas Finas;3,8;El Kilo;habasbaby.jpg
Verduras;Judia Plana Troceada;2,99;El Kilo;judiaplana.jpg
Verduras;Judia Redonda Troceada;2,99;El Kilo;judiaredonda.jpg
Verduras;Menestra Selecci�n Findus;4,75;El Kilo;menestraseleccion.jpg
Verduras;Patata En Dados;2,6;El Kilo;patatadado.jpg
Verduras;Pimiento Rojo Troceado;4,75;El Kilo;pimientorojo.webp
Verduras;Pimiento Verde Troceado;4,6;El Kilo;pimientoverde.webp
Verduras;Sofrito;2,95;El Kilo;sofrito.jpg
Verduras;Sopa Verdura;2,95;El Kilo;sopaverdura.jpg
Verduras;Zanahoria Baby;3,8;El Kilo;zanahoriababy.jpg
Verduras;Zanahoria Trozo;2,4;El Kilo;zanahoritrozo.jpg
Salteados y Revueltos;Arroz 3 Delicias;5,4;El Kilo;arroz3delicias.jpg
Salteados y Revueltos;Base Tortilla Con cebolla;6,2;El Kilo;basetortillaconcebolla.jpg
Salteados y Revueltos;Base Tortilla Sin cebollas;6,2;El Kilo;basetortillasincebolla.jpg
Salteados y Revueltos;Coctel de Setas;6,95;El Kilo;cocteldesetas.jpg
Salteados y Revueltos;Parrillada de Verduras;4,95;El Kilo;parrillada2.jpg
Salteados y Revueltos;Pimientos Asados;9,95;El Kilo;
Salteados y Revueltos;Pisto con Patatas;5,8;El Kilo;pistoconpatatas.jpg
Salteados y Revueltos;Pisto Sin Patatas;5,2;El Kilo;pistosinverduras.jpg
Salteados y Revueltos;Revuelto Gambas, Ajetes y Esparragos;10,8;El Kilo;revueltoajetes.jpg
Salteados y Revueltos;Salteado Berenjena;5,95;El Kilo;salteadoberenjena.jpg
Salteados y Revueltos;Salteado Campestre;3,95;El Kilo;salteadocampestre,jpg
Salteados y Revueltos;Salteado de Patatas;9,4;El Kilo;salteadopatata.webp
Salteados y Revueltos;Salteado de Pavo;6,8;El Kilo;salteadopavo.jpg
Salteados y Revueltos;Salteado de Pollo;5,4;El Kilo;salteadopollo.jpg
Salteados y Revueltos;Salteado Setas con Verduras;6,4;El Kilo;
Precocinados;Albodigas de Pollo;8,25;El Kilo;
Precocinados;Albondigas de  carrillera, Jam�n y Setas;17,1;El Kilo;
Precocinados;Albondigas de Choco y Gambas;16,5;El Kilo;
Precocinados;Albondigas de Ternera;9,9;El Kilo;
Precocinados;Escalope Pollo Ajo y Perejil;16,2;El Kilo;
Precocinados;Finger Pollo Marinado;16,5;El Kilo;caprichopollo.JPG
Precocinados;Finger Pollo Marinado Crujiente;12,95;El Kilo;fingerpollo.JPG
Precocinados;Flamenquin de Carne y Jam�n;13,4;El Kilo;
Precocinados;Flamenquin de Jam�n y Roquefort;13,4;El Kilo;
Precocinados;Flamenquin Queso y Bacon;10,6;El Kilo;
Precocinados;Lagrimitas de Pollo;10,95;El Kilo;lagrimita.JPG
Precocinados;Lagrimitas de Pollo Artesanas;14,2;El Kilo;lagrimitaartesana.jpg
Precocinados;Mini Flamenquin Jam�n y Queso;6,8;El Kilo;miniflamenquin.jpg
Precocinados;Mini San Jacobos Jam�n y Queso;6,2;El Kilo;
Precocinados;Mini San Jacobos Jam�n y Queso;6,2;El Kilo;
Precocinados;Nugets de Pollo;15,2;El Kilo;nugetspollo.jpg
Precocinados;Palomitas de Pollo;17,9;El Kilo;palomitaspollo.jpg
Precocinados;Pechuga Rellena Quseo Cheddar y Bacon;11,6;El Kilo;pechugarellena cheddar y bacon.jpg
Precocinados;Pechuga Rellena Jam�n y Pimiento;11,5;El Kilo;pechugapimiento.jpg
Precocinados;Pechuga Rellena Jam�n y Queso;11,5;El Kilo;LARA-PECHUGA-JAMON-Y-QUESO.jpg
Precocinados;Pechuga Rellena Jam�n y Roquefort;11,5;El Kilo;
Precocinados;Pollo Cajun;8,95;El Kilo;
Precocinados;Pollo Kentucky;20,9;El Kilo;kentucky.jpg
Precocinados;Empanadillas;6,2;El Kilo;
Precocinados;Empanadillas Mini;6,4;El Kilo;miniempanadillas.jpg
Precocinados;Croquetas Bocadito Serranito;18,8;El Kilo;
Precocinados;Croquetas de Cecina NOVEDAD;15,6;El Kilo;
Precocinados;Croquetas Cola de Toro;15,95;El Kilo;colatoro.webp
